mach,cg_m,cn_alpha_body,cn_alpha_fins,cn_alpha_total,x_cp_m,static_margin_cal,regime_flag
1.20,1.5000,3.554975,65.272579,68.827554,4.253601,13.768006,VALID
1.20,1.5500,3.554975,65.272579,68.827554,4.253601,13.518006,VALID
1.20,1.6000,3.554975,65.272579,68.827554,4.253601,13.268006,VALID
1.20,1.6500,3.554975,65.272579,68.827554,4.253601,13.018006,VALID
1.20,1.7000,3.554975,65.272579,68.827554,4.253601,12.768006,VALID
1.20,1.7500,3.554975,65.272579,68.827554,4.253601,12.518006,VALID
1.20,1.8000,3.554975,65.272579,68.827554,4.253601,12.268006,VALID
1.20,1.8500,3.554975,65.272579,68.827554,4.253601,12.018006,VALID
1.20,1.9000,3.554975,65.272579,68.827554,4.253601,11.768006,VALID
1.20,1.9500,3.554975,65.272579,68.827554,4.253601,11.518006,VALID
1.20,2.0000,3.554975,65.272579,68.827554,4.253601,11.268006,VALID
1.20,2.0500,3.554975,65.272579,68.827554,4.253601,11.018006,VALID
1.20,2.1000,3.554975,65.272579,68.827554,4.253601,10.768006,VALID
1.20,2.1500,3.554975,65.272579,68.827554,4.253601,10.518006,VALID
1.20,2.2000,3.554975,65.272579,68.827554,4.253601,10.268006,VALID
1.50,1.4000,3.554975,43.762695,47.317670,4.175571,13.877853,VALID
1.50,1.4500,3.554975,43.762695,47.317670,4.175571,13.627853,VALID
1.50,1.5000,3.554975,43.762695,47.317670,4.175571,13.377853,VALID
1.50,1.5500,3.554975,43.762695,47.317670,4.175571,13.127853,VALID
1.50,1.6000,3.554975,43.762695,47.317670,4.175571,12.877853,VALID
1.50,1.6500,3.554975,43.762695,47.317670,4.175571,12.627853,VALID
1.50,1.7000,3.554975,43.762695,47.317670,4.175571,12.377853,VALID
1.50,1.7500,3.554975,43.762695,47.317670,4.175571,12.127853,VALID
1.50,1.8000,3.554975,43.762695,47.317670,4.175571,11.877853,VALID
1.50,1.8500,3.554975,43.762695,47.317670,4.175571,11.627853,VALID
1.50,1.9000,3.554975,43.762695,47.317670,4.175571,11.377853,VALID
1.50,1.9500,3.554975,43.762695,47.317670,4.175571,11.127853,VALID
1.50,2.0000,3.554975,43.762695,47.317670,4.175571,10.877853,VALID
1.50,2.0500,3.554975,43.762695,47.317670,4.175571,10.627853,VALID
1.50,2.1000,3.554975,43.762695,47.317670,4.175571,10.377853,VALID
1.50,2.1500,3.554975,43.762695,47.317670,4.175571,10.127853,VALID
1.50,2.2000,3.554975,43.762695,47.317670,4.175571,9.877853,VALID
2.00,1.4000,3.554975,29.930042,33.485017,4.072427,13.362134,VALID
2.00,1.4500,3.554975,29.930042,33.485017,4.072427,13.112134,VALID
2.00,1.5000,3.554975,29.930042,33.485017,4.072427,12.862134,VALID
2.00,1.5500,3.554975,29.930042,33.485017,4.072427,12.612134,VALID
2.00,1.6000,3.554975,29.930042,33.485017,4.072427,12.362134,VALID
2.00,1.6500,3.554975,29.930042,33.485017,4.072427,12.112134,VALID
2.00,1.7000,3.554975,29.930042,33.485017,4.072427,11.862134,VALID
2.00,1.7500,3.554975,29.930042,33.485017,4.072427,11.612134,VALID
2.00,1.8000,3.554975,29.930042,33.485017,4.072427,11.362134,VALID
2.00,1.8500,3.554975,29.930042,33.485017,4.072427,11.112134,VALID
2.00,1.9000,3.554975,29.930042,33.485017,4.072427,10.862134,VALID
2.00,1.9500,3.554975,29.930042,33.485017,4.072427,10.612134,VALID
2.00,2.0000,3.554975,29.930042,33.485017,4.072427,10.362134,VALID
2.00,2.0500,3.554975,29.930042,33.485017,4.072427,10.112134,VALID
2.00,2.1000,3.554975,29.930042,33.485017,4.072427,9.862134,VALID
2.00,2.1500,3.554975,29.930042,33.485017,4.072427,9.612134,VALID
2.00,2.2000,3.554975,29.930042,33.485017,4.072427,9.362134,VALID
2.50,1.4000,3.554975,23.189829,26.744804,3.983508,12.917538,VALID
2.50,1.4500,3.554975,23.189829,26.744804,3.983508,12.667538,VALID
