mach0,cone_half_angle_deg,attached,beta_deg,mach_behind_cone,pt_conical,pt_terminal_normal,overall_recovery,mil_e_5007d_reference,meets_reference_goal,failure_modes
2.5,42.0,True,58.49983769370688,1.1221083335636763,0.6595496132851272,0.9981242645539458,0.6385630985161452,0.8703464349004131,False,"NEAR_DETACHMENT: only 4.1 deg of margin to the attached-shock limit at M2.5 -> strong near-normal conical shock (beta=58.5 deg), high loss, buzz-sensitive | BELOW_MIL_E_5007D: recovery 0.639 < reference goal 0.870 (single external cone + terminal normal shock cannot stage the compression enough; cf. the 4-cone chain 0.874, A9) | NO_BLEED_MODELED: no boundary-layer bleed included -> recovery is OPTIMISTIC (real recovery lower) | SHOCK_ON_LIP_UNVERIFIED: cowl-lip position not in the drawing data -> shock-on-lip match at design is PROVISIONAL"
2.0,42.0,False,,,,0.7208738614847455,0.6992476456402031,0.925,False,"DETACHED_SHOCK: cone half-angle 42 deg exceeds the attached limit 40.7 deg at M2.0 -> bow shock, subcritical/spillage, buzz risk"
3.0,42.0,True,54.5428811550205,1.312763734315329,0.5219274560849823,0.9770983746969221,0.4946752349788252,0.8088159059021107,False,"BELOW_MIL_E_5007D: recovery 0.495 < reference goal 0.809 (single external cone + terminal normal shock cannot stage the compression enough; cf. the 4-cone chain 0.874, A9) | NO_BLEED_MODELED: no boundary-layer bleed included -> recovery is OPTIMISTIC (real recovery lower) | SHOCK_ON_LIP_UNVERIFIED: cowl-lip position not in the drawing data -> shock-on-lip match at design is PROVISIONAL"
2.5,21.0,True,33.488134707312895,2.0154628381970254,0.9631733688372235,0.7136475812963563,0.6667453546885553,0.8703464349004131,False,"BELOW_MIL_E_5007D: recovery 0.667 < reference goal 0.870 (single external cone + terminal normal shock cannot stage the compression enough; cf. the 4-cone chain 0.874, A9) | NO_BLEED_MODELED: no boundary-layer bleed included -> recovery is OPTIMISTIC (real recovery lower) | SHOCK_ON_LIP_UNVERIFIED: cowl-lip position not in the drawing data -> shock-on-lip match at design is PROVISIONAL"
2.0,21.0,True,38.679891454554955,1.6622474121750708,0.9870651581732255,0.871115076177681,0.834051920240772,0.925,False,"BELOW_MIL_E_5007D: recovery 0.834 < reference goal 0.925 (single external cone + terminal normal shock cannot stage the compression enough; cf. the 4-cone chain 0.874, A9) | NO_BLEED_MODELED: no boundary-layer bleed included -> recovery is OPTIMISTIC (real recovery lower) | SHOCK_ON_LIP_UNVERIFIED: cowl-lip position not in the drawing data -> shock-on-lip match at design is PROVISIONAL"
3.0,21.0,True,30.553222266998926,2.3391632658672967,0.9216660907468739,0.5661728016495376,0.5061676046000285,0.8088159059021107,False,"BELOW_MIL_E_5007D: recovery 0.506 < reference goal 0.809 (single external cone + terminal normal shock cannot stage the compression enough; cf. the 4-cone chain 0.874, A9) | NO_BLEED_MODELED: no boundary-layer bleed included -> recovery is OPTIMISTIC (real recovery lower) | SHOCK_ON_LIP_UNVERIFIED: cowl-lip position not in the drawing data -> shock-on-lip match at design is PROVISIONAL"
