# MELprop-IADE ramP -- extended Barrowman fin-span sensitivity (Ma=2.5)
# YAML fin_span_m=0.6685 m -> SM_basic=8.986 cal, SM_extended=4.594 cal, delta_SM=-4.392 cal
# SM_extended vs Teltik CFD (-2.75 cal): delta=7.344 cal (gap narrowed by the Galejs body-lift correction but not closed; see doc/ramP/stability_reconciliation.md)
# neutral_span_m (SM_cal=0)=0.1391 m [basic (extended has no positive-span root)]
# STABILITY_REVIEW_NEEDED
fin_span_factor,fin_span_m,CP_nose_m,CP_fin_m,CP_body_m,CP_total_m,CG_m,SM_cal_basic,SM_cal_extended,SM_flag
0.400000,0.267400,0.136538,4.244400,2.299377,2.339719,1.608400,4.606281,2.925277,STABLE
0.550000,0.367675,0.136538,4.244400,2.299377,2.424975,1.608400,6.584557,3.266302,STABLE
0.700000,0.467950,0.136538,4.244400,2.299377,2.527432,1.608400,7.763067,3.676128,STABLE
0.850000,0.568225,0.136538,4.244400,2.299377,2.640077,1.608400,8.500435,4.126709,STABLE
1.000000,0.668500,0.136538,4.244400,2.299377,2.756860,1.608400,8.985703,4.593839,STABLE
1.150000,0.768775,0.136538,4.244400,2.299377,2.873020,1.608400,9.319564,5.058481,STABLE
1.300000,0.869050,0.136538,4.244400,2.299377,2.985145,1.608400,9.558043,5.506982,STABLE
1.450000,0.969325,0.136538,4.244400,2.299377,3.091024,1.608400,9.733844,5.930498,STABLE
1.600000,1.069600,0.136538,4.244400,2.299377,3.189416,1.608400,9.866930,6.324065,STABLE
