mach,theta1_deg,theta2_deg,theta3_deg,theta4_deg,eta_inlet,eta_std,meets_mil_flag
1.0,0.0,0.0,0.0,0.0,0.92,1.0,False
1.1,6.000000000000001,12.000000000000002,18.000000000000004,24.000000000000004,-0.0,0.9966498730588678,False
1.2,6.000000000000001,12.000000000000002,18.000000000000004,24.000000000000004,-0.0,0.9914601202086227,False
1.3,6.000000000000001,12.000000000000002,18.000000000000004,24.000000000000004,-0.0,0.9852369885270136,False
1.4,6.000000000000001,12.000000000000002,18.000000000000004,24.000000000000004,-0.0,0.9782308109117421,False
1.5,6.000000000000001,12.000000000000002,18.000000000000004,24.000000000000004,-0.0,0.9705780963288718,False
1.6,6.000000000000001,12.000000000000002,18.000000000000004,24.000000000000004,-0.0,0.9623672936717379,False
1.7,6.000000000000001,12.000000000000002,18.000000000000004,24.000000000000004,-0.0,0.9536613243683214,False
1.8,6.000000000000001,12.000000000000002,18.000000000000004,24.000000000000004,-0.0,0.9445076973988769,False
1.9,6.000000000000001,12.000000000000002,18.000000000000004,24.000000000000004,-0.0,0.9349438061359338,False
2.0,5.816334209965258,12.00802828405488,18.45545942695712,24.525279726599443,0.9067289385779062,0.925,False
2.1,6.244289313014648,12.957191847526012,20.042602991649474,26.858722916244993,0.9020817247903412,0.9147015011154253,False
2.2,6.6356991853879315,13.833866758776853,21.52607171291089,29.075881154460085,0.8965196302165349,0.9040696684290573,False
2.3,6.992738827825884,14.641287638521344,22.9082814655247,31.175243615510425,0.8900063870057202,0.8931228685374363,False
2.4,7.317635243896089,15.383272143308634,24.193088351061157,33.157399191944656,0.8825226710844943,0.8818770970354878,True
2.5,7.61270048013503,16.06383355024407,25.38489962938487,35.02445849036323,0.8740657467746303,0.8703464349004131,True
2.6,7.880038018850136,16.686800563028104,26.488390319751403,36.7795151984633,0.8646485336511052,0.8585433919706442,True
2.7,8.121703497743395,17.25606831428254,27.508488465328405,38.426518259707464,0.8542982230708236,0.8464791708714284,True
2.8,8.339714101177828,17.77548197425653,28.45029954544197,39.96996006353379,0.8430545743263478,0.8341638734752244,True
2.9,8.535868574936874,18.248510903893546,29.318631713291097,41.41455874883471,0.8309680137226669,0.8216066649488899,True
3.0,8.711959169805782,18.6786908712332,30.118437732685308,42.7652955321853,0.8180976466419324,0.8088159059021107,True
3.1,8.869590274582938,19.069221231496158,30.854244273423888,44.02715446359356,0.8045092755198145,0.795799260143179,True
3.2,9.010260862904914,19.423144746028605,31.530563181439078,45.20515603692006,0.7902734977393557,0.7825637835045701,True
3.3,9.135420367730964,19.74329547022998,32.151555190230745,46.30419449327085,0.7754639386179555,0.7691159977821533,True
3.4,9.246261592779135,20.032252789858198,32.72118487744646,47.32899341901708,0.7601556571580932,0.755461952827989,True
3.5,9.344028745857983,20.292557213483438,33.2431835156451,48.28413526269474,0.7444237468292896,0.7416072791138517,True
