mach,altitude_m,eta_d,Th2_N,drag_N,net_thrust_N,status
1.5,0.0,0.9705780963288718,18466.67177113147,1754.7493393827347,16711.922431748735,SUSTAINED
1.5,2000.0,0.9705780963288718,15128.226448052788,1376.6969126424906,13751.529535410298,SUSTAINED
1.5,4000.0,0.9705780963288718,12262.861988416993,1067.4817354356198,11195.380252981373,SUSTAINED
1.5,6000.0,0.9705780963288718,9825.167716156842,817.075743632898,9008.091972523944,SUSTAINED
1.5,8000.0,0.9705780963288718,7771.371593435897,616.5116830269267,7154.85991040897,SUSTAINED
1.5,10000.0,0.9705780963288718,6059.52639490464,457.817478973376,5601.7089159312645,SUSTAINED
2.0,0.0,0.925,27729.04475008459,3119.5543811248613,24609.49036895973,SUSTAINED
2.0,2000.0,0.925,22803.16864555494,2447.4611780310934,20355.707467523847,SUSTAINED
2.0,4000.0,0.925,18553.370273353063,1897.745307441102,16655.62496591196,SUSTAINED
2.0,6000.0,0.925,14919.70159233396,1452.5790997918189,13467.122492542141,SUSTAINED
2.0,8000.0,0.925,11843.359978393093,1096.0207698256477,10747.339208567446,SUSTAINED
2.0,10000.0,0.925,9267.090709561795,813.8977403971129,8453.192969164682,SUSTAINED
2.5,0.0,0.8703464349004131,34906.726407298265,4874.303720507595,30032.42268679067,SUSTAINED
2.5,2000.0,0.8703464349004131,28876.040074004806,3824.1580906735835,25051.881983331223,SUSTAINED
2.5,4000.0,0.8703464349004131,23629.36465579707,2965.2270428767215,20664.13761292035,SUSTAINED
2.5,6000.0,0.8703464349004131,19107.352487726544,2269.654843424717,16837.69764430183,SUSTAINED
2.5,8000.0,0.8703464349004131,15249.524950203102,1712.5324528525744,13536.992497350528,SUSTAINED
2.5,10000.0,0.8703464349004131,11995.019677873825,1271.7152193704885,10723.304458503337,SUSTAINED
3.0,0.0,0.8088159059021107,39022.25600375849,7018.997357530939,32003.258646227554,SUSTAINED
3.0,2000.0,0.8088159059021107,32564.018591975837,5506.787650569962,27057.230941405876,SUSTAINED
3.0,4000.0,0.8088159059021107,26870.53581857917,4269.926941742479,22600.60887683669,SUSTAINED
3.0,6000.0,0.8088159059021107,21902.311812071675,3268.302974531592,18634.008837540085,SUSTAINED
3.0,8000.0,0.8088159059021107,17614.298623140603,2466.0467321077067,15148.251891032896,SUSTAINED
3.0,10000.0,0.8088159059021107,13957.132772919753,1831.269915893504,12125.862857026248,SUSTAINED
3.5,0.0,0.7416072791138517,39535.00367395865,9553.635292194887,29981.368381763765,SUSTAINED
3.5,2000.0,0.7416072791138517,33435.02529271066,7495.3498577202245,25939.675434990437,SUSTAINED
3.5,4000.0,0.7416072791138517,27935.21826538672,5811.845004038374,22123.373261348344,SUSTAINED
3.5,6000.0,0.7416072791138517,23037.55919598281,4448.523493112446,18589.035702870362,SUSTAINED
3.5,8000.0,0.7416072791138517,18731.690353907386,3356.5636075910456,15375.12674631634,SUSTAINED
3.5,10000.0,0.7416072791138517,14996.800931124595,2492.561829966158,12504.239101158437,SUSTAINED
