# MELprop-IADE ramP -- extended Barrowman fin-span sensitivity (Ma=2.5)
# YAML fin_span_m=0.5500 m -> SM_basic=11.038 cal, SM_extended=4.822 cal, delta_SM=-6.216 cal
# SM_extended vs Teltik CFD (-2.75 cal): delta=7.572 cal (gap narrowed by the Galejs body-lift correction but not closed; see docs/ramP/stability_reconciliation.md)
# neutral_span_m (SM_cal=0)=0.1151 m [basic (extended has no positive-span root)]
# STABILITY_REVIEW_NEEDED
fin_span_factor,fin_span_m,CP_nose_m,CP_fin_m,CP_body_m,CP_total_m,CG_m,SM_cal_basic,SM_cal_extended,SM_flag
0.400000,0.220000,0.136538,4.285867,2.273777,2.304251,1.608400,5.529984,3.479256,STABLE
0.550000,0.302500,0.136538,4.309664,2.273777,2.364460,1.608400,7.898749,3.780302,STABLE
0.700000,0.385000,0.136538,4.333460,2.273777,2.431793,1.608400,9.360107,4.116966,STABLE
0.850000,0.467500,0.136538,4.357257,2.273777,2.502068,1.608400,10.336360,4.468340,STABLE
1.000000,0.550000,0.136538,4.381053,2.273777,2.572838,1.608400,11.038009,4.822192,STABLE
1.150000,0.632500,0.136538,4.404850,2.273777,2.642739,1.608400,11.573893,5.171694,STABLE
1.300000,0.715000,0.136538,4.428646,2.273777,2.711042,1.608400,12.003784,5.513212,STABLE
1.450000,0.797500,0.136538,4.452443,2.273777,2.777394,1.608400,12.362515,5.844968,STABLE
1.600000,0.880000,0.136538,4.476239,2.273777,2.841651,1.608400,12.671479,6.166253,STABLE
