launch_angle_deg,burnout_mach,burnout_altitude_m,burnout_range_m,max_q_Pa,ground_impact_flag
5.0,1.7762556037747477,108.71564585046839,1543.489511471419,220912.7868530443,False
10.0,1.7689386096518505,242.8118861597054,1526.6863840704075,215627.05666087175,False
15.0,1.761609129658206,375.0038018512095,1498.2284671540037,210495.3053639319,False
20.0,1.7543257962328396,504.2776345428806,1458.3140431322297,205551.536994059,False
25.0,1.7471541085555862,629.639088273092,1407.2312202317848,200827.91525191301,False
30.0,1.7401564897327053,750.1198936202904,1345.3523937791358,196352.5520706852,False
