x_mm,vol_tag,area_mm2,n_loops,outer_r_eq_mm,outer_bbox_r_mm,has_inner_loop,inner_area_mm2,inner_r_eq_mm
2100,2,56.49411622776317,1,4.240593791736381,63.78082067836787,False,0.0,0.0
2100,2,56.49118536076752,1,4.240483791098998,64.38998204570665,False,0.0,0.0
2100,2,56.484665377198844,1,4.240239074314757,64.82319876342903,False,0.0,0.0
2100,2,56.479480824437395,1,4.240044470633092,64.9987538235205,False,0.0,0.0
2100,2,56.479479172066675,1,4.240044408609457,64.9932121395342,False,0.0,0.0
2100,2,56.48467314522168,1,4.240239365883031,64.7854102149119,False,0.0,0.0
2100,2,56.49120017441824,1,4.2404843470887625,64.32701450396104,False,0.0,0.0
2100,2,56.494110751358434,1,4.240593586199857,63.70467885061759,False,0.0,0.0
2100,2,56.491156102692585,1,4.24048269297716,63.03883447724339,False,0.0,0.0
2100,2,56.484638929843,1,4.240238081628299,62.46203002380412,False,0.0,0.0
2100,2,56.47537710717189,1,4.23989043009021,62.09231317090625,False,0.0,0.0
2100,2,56.47947643238976,1,4.240044305772532,62.121291296260594,False,0.0,0.0
2100,2,56.48468771340527,1,4.240239912691378,62.51969104035144,False,0.0,0.0
2100,2,56.491216504513616,1,4.240484959994034,63.113239285548,False,0.0,0.0
2200,2,1168.6724671353659,2,19.287301521985604,65.00001147574636,True,11520.76988400711,60.557203952361824
2300,2,1168.672467135364,2,19.28730152198559,65.0000114757253,True,11520.76988400691,60.5572039523613
2400,2,3164.369200328314,2,31.737202145116672,65.00001147570424,True,10028.753835157386,56.50001320207104
2500,2,12667.686977437404,1,63.4999999999999,65.00001147568317,False,0.0,0.0
2600,2,12667.686977437404,1,63.4999999999999,65.0000114756621,False,0.0,0.0
2700,2,12667.686977437404,1,63.4999999999999,65.00001147564105,False,0.0,0.0
2800,2,12667.686977437404,1,63.4999999999999,65.00001147561998,False,0.0,0.0
2900,2,12667.686977437404,1,63.4999999999999,65.00001147559891,False,0.0,0.0
3200,2,12667.686977437404,1,63.4999999999999,65.00001147553573,False,0.0,0.0
3400,2,12667.686977437404,1,63.4999999999999,65.0000114754936,False,0.0,0.0
3600,2,12667.686977437404,1,63.4999999999999,65.00001147545147,False,0.0,0.0
3800,2,14858.370213429787,1,68.77184112348208,163.32955571071983,False,0.0,0.0
